,Method,Parameter,Signal_id,Repetition,-5,0,10,20
1600,brevdo_method,"((), {})",McSyntheticMixture,0,0.4537521877298773,0.7155916685979536,0.9737963032990254,0.9973183999841158
1601,brevdo_method,"((), {})",McSyntheticMixture,1,0.47679457602832886,0.7648474857401242,0.9773753247195528,0.9974065926106344
1602,brevdo_method,"((), {})",McSyntheticMixture,2,0.5289563562648132,0.787783258181528,0.9225800043320044,0.9974820375813582
1603,brevdo_method,"((), {})",McSyntheticMixture,3,0.4965038117727154,0.7092366119289825,0.9765015764713282,0.9960292946569237
1604,brevdo_method,"((), {})",McSyntheticMixture,4,0.5203353973812758,0.7768566646411924,0.9397788574715082,0.9973710079006931
1605,brevdo_method,"((), {})",McSyntheticMixture,5,0.6233665974080058,0.8296986554987534,0.9447409569886922,0.9949897481553656
1606,brevdo_method,"((), {})",McSyntheticMixture,6,0.5348064214440105,0.7959939555603592,0.9698547104410759,0.9931506591568248
1607,brevdo_method,"((), {})",McSyntheticMixture,7,0.5390875903280905,0.8155522003473319,0.9780672701230055,0.9977256349048084
1608,brevdo_method,"((), {})",McSyntheticMixture,8,0.40748657549594053,0.8039844351491902,0.9480742941404989,0.9952782969749143
1609,brevdo_method,"((), {})",McSyntheticMixture,9,0.3752122983158166,0.7030443335691958,0.9072037081884328,0.9977012971833574
1610,brevdo_method,"((), {})",McSyntheticMixture,10,0.4443074360710848,0.7489110876573248,0.9559516581464867,0.9895338518462411
1611,brevdo_method,"((), {})",McSyntheticMixture,11,0.43686680768983754,0.7298906280543819,0.9191365970951669,0.9973279554686998
1612,brevdo_method,"((), {})",McSyntheticMixture,12,0.5073946056117883,0.7566870320700776,0.9573139775016349,0.9973740376463339
1613,brevdo_method,"((), {})",McSyntheticMixture,13,0.5099813701300573,0.8113485604263416,0.9076130657786844,0.9686918688016648
1614,brevdo_method,"((), {})",McSyntheticMixture,14,0.4976448097791385,0.7745461511652907,0.9594019348652493,0.9974818898885001
1615,brevdo_method,"((), {})",McSyntheticMixture,15,0.5144736729859346,0.7153801342085869,0.9704200402190967,0.9977051777037695
1616,brevdo_method,"((), {})",McSyntheticMixture,16,0.5677571508413111,0.7056073232475856,0.9504466563293287,0.9974688242657201
1617,brevdo_method,"((), {})",McSyntheticMixture,17,0.42345792691569195,0.728158067735294,0.9775892211393574,0.9973446806012952
1618,brevdo_method,"((), {})",McSyntheticMixture,18,0.5306022901646306,0.7996378259095581,0.9732895711874046,0.9974593798159079
1619,brevdo_method,"((), {})",McSyntheticMixture,19,0.5071130897894202,0.751111293622624,0.9744006024241743,0.9973125472635883
1620,brevdo_method,"((), {})",McSyntheticMixture,20,0.40111743560063934,0.7716473367718657,0.9761455432290745,0.9978624961138017
1621,brevdo_method,"((), {})",McSyntheticMixture,21,0.4840361691433671,0.7793989820867778,0.9358474060116985,0.9968850737240912
1622,brevdo_method,"((), {})",McSyntheticMixture,22,0.45501920150347347,0.6286184893154654,0.96272555451453,0.9954380570772651
1623,brevdo_method,"((), {})",McSyntheticMixture,23,0.6158275258154084,0.8042935105064312,0.9554309418104407,0.9976962265848857
1624,brevdo_method,"((), {})",McSyntheticMixture,24,0.49618733183322705,0.7809859399087731,0.9657823582794076,0.9761371351127193
1625,brevdo_method,"((), {})",McSyntheticMixture,25,0.46250796957116264,0.7830011699778924,0.9102105848456838,0.991686150481539
1626,brevdo_method,"((), {})",McSyntheticMixture,26,0.4887239228181453,0.7043369453709595,0.9575396573029726,0.9975780987510181
1627,brevdo_method,"((), {})",McSyntheticMixture,27,0.46479953943202007,0.7163532451479394,0.9154594767754136,0.9976913405369545
1628,brevdo_method,"((), {})",McSyntheticMixture,28,0.39322862924271035,0.7685232627740619,0.9538504987693002,0.9975478784539932
1629,brevdo_method,"((), {})",McSyntheticMixture,29,0.461587892236432,0.7202080487862188,0.9604870260078597,0.9694147011611453
1630,brevdo_method,"((), {})",McSyntheticMixture,30,0.5211557419812345,0.7489212681441677,0.9395436314557655,0.9975535475305449
1631,brevdo_method,"((), {})",McSyntheticMixture,31,0.5320507094451494,0.7524608124078059,0.9569591170174184,0.9970245925048364
1632,brevdo_method,"((), {})",McSyntheticMixture,32,0.5555491471665902,0.7865139000613292,0.9531899032370614,0.9976926773768616
1633,brevdo_method,"((), {})",McSyntheticMixture,33,0.5283313582196805,0.7938319014467397,0.9183143671649862,0.9971740809167013
1634,brevdo_method,"((), {})",McSyntheticMixture,34,0.4638536566888073,0.7832110844192613,0.9762036287725496,0.9807230368351296
1635,brevdo_method,"((), {})",McSyntheticMixture,35,0.5011034950705628,0.7177452293939635,0.915729584823227,0.9974040193629499
1636,brevdo_method,"((), {})",McSyntheticMixture,36,0.5431154108396606,0.7786032091746341,0.9767726255144975,0.99695173741729
1637,brevdo_method,"((), {})",McSyntheticMixture,37,0.5499471407923471,0.7130066831732755,0.9749172153864205,0.9978685376227956
1638,brevdo_method,"((), {})",McSyntheticMixture,38,0.39455797186648495,0.703397219379761,0.9776318039531853,0.9958278849568931
1639,brevdo_method,"((), {})",McSyntheticMixture,39,0.5741152757532823,0.8051117092549134,0.9502526105914205,0.9721714162693567
1640,brevdo_method,"((), {})",McSyntheticMixture,40,0.5727433277883508,0.7654398042740082,0.947840862618688,0.990280509175116
1641,brevdo_method,"((), {})",McSyntheticMixture,41,0.5487457308710056,0.7366449745205899,0.8939316671329872,0.9974795378418161
1642,brevdo_method,"((), {})",McSyntheticMixture,42,0.5197539872138304,0.6417825050072641,0.9680957644066278,0.9747698837167675
