,Method,Parameter,Signal_id,Repetition,-5,0,10,20
0,brevdo_method,"((), {})",McMultiLinear,0,0.5931371571537455,0.7803138676424218,0.969091842194928,0.9967341122065438
1,brevdo_method,"((), {})",McMultiLinear,1,0.5538398782568311,0.7875275336567489,0.9697688076468344,0.9967432303395922
2,brevdo_method,"((), {})",McMultiLinear,2,0.46997420541940715,0.7738919401472655,0.9679476043684851,0.996585906454031
3,brevdo_method,"((), {})",McMultiLinear,3,0.4314436423184203,0.769710599272514,0.9667036322199135,0.996473068140167
4,brevdo_method,"((), {})",McMultiLinear,4,0.4171680126057861,0.7646694920701387,0.9669319376889377,0.9965707841281162
5,brevdo_method,"((), {})",McMultiLinear,5,0.5539800695210036,0.7836211020624677,0.9691557933362436,0.996661508648289
6,brevdo_method,"((), {})",McMultiLinear,6,0.420537769325259,0.7660098811118143,0.9676844050954337,0.9966004860569735
7,brevdo_method,"((), {})",McMultiLinear,7,0.6038754126990882,0.7906003751199843,0.9688070967128639,0.996619881728953
8,brevdo_method,"((), {})",McMultiLinear,8,0.4433587593398492,0.7046334000942881,0.9677630061612468,0.996668680734814
9,brevdo_method,"((), {})",McMultiLinear,9,0.4506040605052751,0.6878587174374123,0.9674140518903149,0.9965609066128105
10,brevdo_method,"((), {})",McMultiLinear,10,0.5011300707895356,0.7749523537464849,0.9667253862152594,0.9964307961635065
11,brevdo_method,"((), {})",McMultiLinear,11,0.46948881935171877,0.6956321753574177,0.9677876653027883,0.9966031254327572
12,brevdo_method,"((), {})",McMultiLinear,12,0.6020021595611009,0.7913066238091333,0.9694462413212149,0.99672992480508
13,brevdo_method,"((), {})",McMultiLinear,13,0.41736896971417237,0.7387658269450267,0.9652900694534832,0.9963968202278369
14,brevdo_method,"((), {})",McMultiLinear,14,0.49389809579280874,0.7706890193590317,0.9665559738648258,0.9964988776814572
15,brevdo_method,"((), {})",McMultiLinear,15,0.4935046105714843,0.7858855747813663,0.9686021061798281,0.9966299910724798
16,brevdo_method,"((), {})",McMultiLinear,16,0.44775790300458285,0.7477831475493185,0.9683592119059269,0.996653722382479
17,brevdo_method,"((), {})",McMultiLinear,17,0.5316182290429247,0.7523291937043156,0.9660721926155666,0.9964278820370494
18,brevdo_method,"((), {})",McMultiLinear,18,0.4420004077199066,0.7072098192633344,0.9683804071063997,0.9966522382593894
19,brevdo_method,"((), {})",McMultiLinear,19,0.5117485307182275,0.7778648356622713,0.967785416468138,0.9965945086916372
20,brevdo_method,"((), {})",McMultiLinear,20,0.4723082088308617,0.7790282829606887,0.968854575262961,0.9966936457033987
21,brevdo_method,"((), {})",McMultiLinear,21,0.4117246341318387,0.6825245652323814,0.9663180570176447,0.996460796072586
22,brevdo_method,"((), {})",McMultiLinear,22,0.5290698549883246,0.7568307864581003,0.9674972594959331,0.9965776425091489
23,brevdo_method,"((), {})",McMultiLinear,23,0.4998121498122026,0.757416243060821,0.9691920968345801,0.9967799669798098
24,brevdo_method,"((), {})",McMultiLinear,24,0.6064527790739804,0.7857264018123653,0.9694750355660257,0.9966542499554407
25,brevdo_method,"((), {})",McMultiLinear,25,0.535525535500701,0.7132168693421475,0.9674950206028103,0.9965729082950512
26,brevdo_method,"((), {})",McMultiLinear,26,0.4792190933682433,0.716882758559888,0.9663397046917288,0.9964787375292504
27,brevdo_method,"((), {})",McMultiLinear,27,0.438787516132822,0.7332119868354495,0.9695112966974065,0.9967894858607568
28,brevdo_method,"((), {})",McMultiLinear,28,0.5069791623572378,0.7801369152890373,0.9691219881865502,0.9967145826098263
29,brevdo_method,"((), {})",McMultiLinear,29,0.4536129597223429,0.7788389232253293,0.9670486501723385,0.9964647557723155
30,brevdo_method,"((), {})",McMultiLinear,30,0.5206698250422719,0.7617480837402968,0.966957295694141,0.9964788466819072
31,brevdo_method,"((), {})",McMultiLinear,31,0.4122866888867709,0.7563782347441684,0.9662893366604001,0.9964888197328711
