,Method,Parameter,Signal_id,Repetition,-5,0,10,20,30
720,brevdo_method,"((), {})",McSyntheticMixture2,0,-1.9161069426743418,3.4563418515110254,13.082881612640518,23.393282479306063,33.328950306706886
721,brevdo_method,"((), {})",McSyntheticMixture2,1,-2.245050258636843,2.7429362701359343,13.344775233283787,23.556288651945167,30.336709615146283
722,brevdo_method,"((), {})",McSyntheticMixture2,2,-2.1918988396145433,2.959127302178856,13.081868201857407,23.4071539312325,34.050886564806305
723,brevdo_method,"((), {})",McSyntheticMixture2,3,-2.3411245538054963,3.0419474461434373,13.242862941701887,22.716831055543945,34.06821702335917
724,brevdo_method,"((), {})",McSyntheticMixture2,4,-2.2500738481728138,2.7448750509226767,12.066207262971734,23.14930802728625,27.74060755148421
725,brevdo_method,"((), {})",McSyntheticMixture2,5,-2.2556516761378824,3.144433974434886,13.267135955067385,21.258308788368225,34.36241627407857
726,brevdo_method,"((), {})",McSyntheticMixture2,6,-2.4882986990219798,3.3100229089551734,13.323609835141884,23.787579387405593,29.340565992771754
727,brevdo_method,"((), {})",McSyntheticMixture2,7,-1.849401642709915,3.624181567691695,13.36743025934423,22.08630677691529,34.061585364100175
728,brevdo_method,"((), {})",McSyntheticMixture2,8,-1.7237280393264522,3.0439575759238586,13.612528798230855,21.706607878103462,34.477425013600374
729,brevdo_method,"((), {})",McSyntheticMixture2,9,-2.065214098341422,2.352393520730862,12.5897452517771,22.06926323619632,34.13808899234876
730,brevdo_method,"((), {})",McSyntheticMixture2,10,-2.3876038623368774,2.4988221135664297,12.787894312517425,23.417270863403562,33.99743021556556
731,brevdo_method,"((), {})",McSyntheticMixture2,11,-2.0932023804485937,3.160567248023977,13.11609562731941,23.19652589150907,34.152724784300595
732,brevdo_method,"((), {})",McSyntheticMixture2,12,-2.0047431619286575,3.2304913042296723,13.326012204885945,23.63226564540532,30.797127170152613
733,brevdo_method,"((), {})",McSyntheticMixture2,13,-2.078547519987984,3.090270838553572,13.319485215123208,16.30443282633183,34.44958069054781
734,brevdo_method,"((), {})",McSyntheticMixture2,14,-2.660529870471599,3.0750644663468023,12.951309361125922,22.928325915954858,29.283445611320605
735,brevdo_method,"((), {})",McSyntheticMixture2,15,-2.355161813695682,2.7620841349645775,12.545205675832495,22.827416254367954,27.931247671257978
736,brevdo_method,"((), {})",McSyntheticMixture2,16,-2.2442555743676595,2.771098374464806,13.138505632073052,23.456076100635368,34.165724569501975
737,brevdo_method,"((), {})",McSyntheticMixture2,17,-2.108744200750339,3.175923852639739,12.782537029552785,23.467470866876212,33.99774957239256
738,brevdo_method,"((), {})",McSyntheticMixture2,18,-1.7249003165233332,2.974531801399422,13.431570081243136,23.982105994459502,34.50259461615036
739,brevdo_method,"((), {})",McSyntheticMixture2,19,-2.0348719290898116,3.28630761937747,13.006410934481618,20.78204913087854,29.65578557343589
740,brevdo_method,"((), {})",McSyntheticMixture2,20,-1.7747287522883648,3.0790344747322687,13.233248862485814,23.479586100223038,34.301308996513725
741,brevdo_method,"((), {})",McSyntheticMixture2,21,-2.333250127574046,2.709329924177835,12.895452473778539,23.601716466956304,33.68629842048723
742,brevdo_method,"((), {})",McSyntheticMixture2,22,-1.891745611694954,3.35617588409408,13.128745134885282,23.384889838713583,34.11371318354425
743,brevdo_method,"((), {})",McSyntheticMixture2,23,-2.3139538439675253,2.940363955881919,13.248604399801003,23.36471215053825,34.261808315700065
744,brevdo_method,"((), {})",McSyntheticMixture2,24,-1.903134685256216,3.4781662676454945,13.534044462811947,23.7392079606457,34.11839063155993
745,brevdo_method,"((), {})",McSyntheticMixture2,25,-2.74156387748723,3.1815558717746817,13.086775844399398,23.52274413939626,33.964690735120406
746,brevdo_method,"((), {})",McSyntheticMixture2,26,-2.416565056933107,2.2131509080009186,12.994664054085147,22.38371093910489,33.782095747911974
747,brevdo_method,"((), {})",McSyntheticMixture2,27,-2.024836475745297,3.371518690658303,13.336730619858141,23.680891272852694,29.122833438298663
748,brevdo_method,"((), {})",McSyntheticMixture2,28,-1.7199383325861053,2.3282239113334553,12.474404518114905,23.778031539017984,34.22170454670381
749,brevdo_method,"((), {})",McSyntheticMixture2,29,-2.407485702728393,3.0671128418919,12.975210645226776,23.664604828908114,34.1164112633553
750,contour_filtering,"((), {})",McSyntheticMixture2,0,1.0495816224774093,7.0939549699794755,16.145716333911317,24.84944025019395,34.205570126045565
751,contour_filtering,"((), {})",McSyntheticMixture2,1,1.5977663241251268,5.896138424780917,15.991809484436331,24.573864260156416,31.564439981306403
752,contour_filtering,"((), {})",McSyntheticMixture2,2,0.9478369614542728,7.271763021056488,14.966197534220013,24.300097417855522,33.337399109056555
753,contour_filtering,"((), {})",McSyntheticMixture2,3,1.4987117366605296,5.797568521877606,15.377945803982158,24.36887303300515,33.61042775910535
754,contour_filtering,"((), {})",McSyntheticMixture2,4,1.9076788220653749,6.3057439919071125,15.083555242930098,24.350599616101324,33.579479296678876
755,contour_filtering,"((), {})",McSyntheticMixture2,5,1.3682872372575994,7.322226188269811,15.533711686077869,24.912055561756432,34.14550084553867
756,contour_filtering,"((), {})",McSyntheticMixture2,6,1.0880548755582167,7.5112971895786345,16.136459895960684,25.184099802055737,34.09251759005353
757,contour_filtering,"((), {})",McSyntheticMixture2,7,0.43703806215747365,6.407306303251975,15.449831168993509,24.50083008706272,32.4591441677952
758,contour_filtering,"((), {})",McSyntheticMixture2,8,2.2088067967604927,7.0184962938668525,16.034411083500085,25.388549929156284,34.29232136501075
