,Method,Parameter,Signal_id,Repetition,-5,0,10,20
3200,brevdo_method,"((), {})",McSyntheticMixture3,0,-3.177768858506983,2.1036943254104488,11.98504720831801,19.578829687621383
3201,brevdo_method,"((), {})",McSyntheticMixture3,1,-3.1916100296996053,1.6380970713944496,6.849588030114856,20.042960471822965
3202,brevdo_method,"((), {})",McSyntheticMixture3,2,-3.0788434878715094,2.0474216145364275,12.314945086884709,22.062802431765675
3203,brevdo_method,"((), {})",McSyntheticMixture3,3,-3.288182712351672,2.527361931012514,12.375746672193186,21.457558926067044
3204,brevdo_method,"((), {})",McSyntheticMixture3,4,-3.3199598462119724,1.78802472256976,11.99098924722737,17.094326702707946
3205,brevdo_method,"((), {})",McSyntheticMixture3,5,-3.32280934392418,1.6186892940761206,9.676456779430303,22.60403113131078
3206,brevdo_method,"((), {})",McSyntheticMixture3,6,-2.8181538564237645,1.7870423410499823,12.40134420612107,23.895755265287967
3207,brevdo_method,"((), {})",McSyntheticMixture3,7,-2.8905475202831346,1.8058385340078806,9.681713897801414,16.86177467621544
3208,brevdo_method,"((), {})",McSyntheticMixture3,8,-3.2227996977072273,1.962734027253987,12.325075487659404,17.197414501704326
3209,brevdo_method,"((), {})",McSyntheticMixture3,9,-3.722980510732687,1.865263001206976,11.690248302909069,18.733500455031876
3210,brevdo_method,"((), {})",McSyntheticMixture3,10,-3.283293456629082,1.6636636587166334,11.536544448384195,22.113866525894714
3211,brevdo_method,"((), {})",McSyntheticMixture3,11,-3.472121859731057,1.7412579569745579,12.50450044988574,20.99431761354807
3212,brevdo_method,"((), {})",McSyntheticMixture3,12,-3.290916908185687,1.8403290827378138,11.864198588754087,22.616244605701993
3213,brevdo_method,"((), {})",McSyntheticMixture3,13,-3.854502333226767,0.9350895940020708,12.107722228970825,21.666746495585116
3214,brevdo_method,"((), {})",McSyntheticMixture3,14,-2.90080065327466,1.4104213226408446,12.00856282147005,18.33568676293841
3215,brevdo_method,"((), {})",McSyntheticMixture3,15,-3.6002396640403536,1.9859096155943903,10.18558273083533,9.990526826349528
3216,brevdo_method,"((), {})",McSyntheticMixture3,16,-2.954037398288145,2.069847765319162,8.287005448519405,22.737561778906723
3217,brevdo_method,"((), {})",McSyntheticMixture3,17,-3.1386547889593537,1.7017458285717824,6.2521018214501005,21.564871171222755
3218,brevdo_method,"((), {})",McSyntheticMixture3,18,-3.347675909909694,1.893324156297408,12.121109590672091,15.945856866045274
3219,brevdo_method,"((), {})",McSyntheticMixture3,19,-3.263081664913577,1.573031156952939,6.706636764976098,23.25900358086831
3220,brevdo_method,"((), {})",McSyntheticMixture3,20,-3.04053655874371,2.0648983237971223,11.09689651878523,21.673638007170652
3221,brevdo_method,"((), {})",McSyntheticMixture3,21,-3.6071984087854627,1.5580610374005264,12.303559663174262,17.961484000817826
3222,brevdo_method,"((), {})",McSyntheticMixture3,22,-3.129620329955633,1.546473459717732,11.851080410937316,16.98544214215797
3223,brevdo_method,"((), {})",McSyntheticMixture3,23,-3.347252516400185,1.8896859831156776,9.909011241616847,14.592783671331173
3224,brevdo_method,"((), {})",McSyntheticMixture3,24,-3.311358492249737,1.5684818262627898,12.049912505336131,22.170111736285246
3225,brevdo_method,"((), {})",McSyntheticMixture3,25,-3.505175019061956,1.7365071136999801,12.691559465663973,15.034172980134134
3226,brevdo_method,"((), {})",McSyntheticMixture3,26,-3.3566434003446997,1.7266822547471938,12.344656605175928,22.237764626062138
3227,brevdo_method,"((), {})",McSyntheticMixture3,27,-2.5532953777234955,1.9492650852188067,11.24174187937906,15.594528901727047
3228,brevdo_method,"((), {})",McSyntheticMixture3,28,-3.4088380451021165,1.7944954869695402,11.611777892635086,19.781560477830883
3229,brevdo_method,"((), {})",McSyntheticMixture3,29,-3.115999584095524,1.9251692044430022,11.198156168846175,22.50698120002079
3230,brevdo_method,"((), {})",McSyntheticMixture3,30,-3.2919966238956713,1.881570623699484,10.46838094606079,22.58665678649241
3231,brevdo_method,"((), {})",McSyntheticMixture3,31,-2.9655281977680943,1.7232235297347316,9.859396697663247,19.42327101433687
3232,brevdo_method,"((), {})",McSyntheticMixture3,32,-3.2852403626586573,2.161228398518947,13.060926757063331,23.257231050807
3233,brevdo_method,"((), {})",McSyntheticMixture3,33,-3.454900691602421,1.2886560849527007,10.919373700108899,18.193989792990152
3234,brevdo_method,"((), {})",McSyntheticMixture3,34,-3.280511088282092,1.458534348433731,11.493447634501653,17.407370289736942
3235,brevdo_method,"((), {})",McSyntheticMixture3,35,-2.6421116700741116,2.1848990012044296,10.86293840280958,22.74421007181763
3236,brevdo_method,"((), {})",McSyntheticMixture3,36,-2.9083176289635464,1.1604571407621622,12.17381742104241,19.103290099868985
3237,brevdo_method,"((), {})",McSyntheticMixture3,37,-3.0287492975077797,2.18322284763556,9.598534059611577,19.401892188801007
3238,brevdo_method,"((), {})",McSyntheticMixture3,38,-3.736303911132595,1.8014059633129813,10.488732962400395,19.9452387553129
3239,brevdo_method,"((), {})",McSyntheticMixture3,39,-3.1802570469457008,1.666685591196585,10.976711858917938,17.482164864162513
3240,brevdo_method,"((), {})",McSyntheticMixture3,40,-3.3465217711702877,2.0113671262496697,12.03630292790346,20.009678859390675
3241,brevdo_method,"((), {})",McSyntheticMixture3,41,-3.1991050433260066,1.6557070785119836,9.838198507453356,16.318887775977345
3242,brevdo_method,"((), {})",McSyntheticMixture3,42,-3.429540021500852,1.6972529200482502,12.030154571823303,16.766395958442153
